POINT,UNICODE,LATITUDE,LONGITUDE,X2004,X2010,X2012,X2017,X2018,X2020,first_dev,first_urb,t_infestans,cimex_sp,control
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,1,0
removed,removed,removed,removed,Developed,Developed,Developed,Developed,Developed,Developed,2004,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,1,0
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,1,0
removed,removed,removed,removed,Claimed,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,0,0,1
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,1,0,0
removed,removed,removed,removed,Barren,Developed,Developed,Developed,Developed,Developed,2010,,1,0,0
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Developed,Developed,2012,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Developed,Developed,Developed,Developed,2012,,0,1,0
removed,removed,removed,removed,Claimed,Claimed,Claimed,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Developed,Developed,Developed,2017,,1,0,0
removed,removed,removed,removed,Barren,Barren,Barren,Developed,Developed,Developed,2017,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Claimed,Developed,Developed,2018,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Developed,Developed,2018,,0,0,1
removed,removed,removed,removed,Claimed,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Claimed,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Claimed,Claimed,Claimed,Claimed,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Barren,Barren,Barren,Barren,Barren,Developed,2020,,0,0,1
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,0,1
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,1,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,1,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,0,1,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,1,0,0
removed,removed,removed,removed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2004,1,0,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,0,1
removed,removed,removed,removed,Developed,Urbanized,Urbanized,Urbanized,Urbanized,Urbanized,2004,2010,0,1,0
